ID	Stock
C0001	UN
C0002	UN
C0003	UN
C0004	TH
C0005	TH
C0006	TH
C0007	TH
C0008	TH
C0009	JS
C0010	JS
C0011	JS
C0012	JS
C0013	JS
C0014	JS
C0015	JS
C0016	JS
C0017	JS
C0018	JS
C0019	JS
C0020	JS
C0021	JS
C0022	JS
C0023	JS
C0024	JS
C0025	JS
C0026	JS
C0027	JS
C0028	JS
C0029	JS
C0030	JS
C0031	JS
C0032	JS
C0033	JS
C0034	JS
C0035	JS
C0036	JS
C0037	JS
C0038	JS
C0039	JS
C0040	JS
C0041	JS
C0042	JS
C0043	JS
C0044	JS
C0045	JS
C0046	JS
C0047	JS
C0048	JS
C0049	JS
C0050	JS
C0051	JS
C0052	JS
C0053	JS
C0054	JS
C0055	JS
C0056	JS
C0057	JS
C0058	JS
C0059	JS
C0060	JS
C0061	JS
C0062	JS
C0063	JS
C0064	JS
C0065	JS
C0066	JS
C0067	JS
C0068	JS
C0069	JS
C0070	JS
C0071	JS
C0072	JS
C0073	JS
C0074	JS
C0075	JS
C0076	JS
C0077	JS
C0078	JS
C0079	JS
C0080	JS
C0081	JS
C0082	JS
C0083	JS
C0084	JS
C0085	JS
C0086	JS
C0087	JS
C0088	JS
C0089	JS
C0090	JS
C0091	JS
C0092	JS
C0093	JS
C0094	JS
C0095	JS
C0096	JS
C0097	JS
C0098	JS
C0099	JS
C0100	JS
C0101	JS
C0102	JS
C0103	JS
C0104	JS
C0105	JS
C0106	JS
C0107	JS
C0108	JS
C0109	JS
C0110	JS
C0111	TH
C0112	TH
C0113	TH
C0114	TH
C0115	TH
C0116	TH
C0117	TH
C0118	TH
C0119	TH
C0120	TH
C0121	TH
C0122	TH
C0123	TH
C0124	TH
C0125	TH
C0126	TH
C0127	TH
C0128	TH
C0129	TH
C0130	TH
C0131	TH
C0132	TH
C0133	TH
C0134	TH
C0135	TH
C0136	TH
C0137	TH
C0138	TH
C0139	TH
C0140	TH
C0141	TH
C0142	TH
C0143	TH
C0144	TH
C0145	TH
C0146	TH
C0147	TH
C0148	TH
C0149	TH
C0150	TH
C0151	TH
C0152	TH
C0153	TH
C0154	TH
C0155	TH
C0156	TH
C0157	TH
C0158	TH
C0159	TH
C0160	TH
C0161	TH
C0162	TH
C0163	TH
C0164	TH
C0165	TH
C0166	TH
C0167	TH
C0168	TH
C0169	TH
C0170	TH
C0171	TH
C0172	TH
C0173	TH
C0174	TH
C0175	TH
C0176	TH
C0177	TH
C0178	TH
C0179	TH
C0180	TH
C0181	TH
C0182	TH
C0183	TH
C0184	TH
C0185	TH
C0186	TH
C0187	TH
C0188	TH
C0189	TH
C0190	TH
C0191	TH
C0192	TH
C0193	TH
C0194	TH
C0195	TH
C0196	TH
C0197	TH
C0198	TH
C0199	TH
C0200	TH
C0201	TH
C0202	TH
C0203	TH
C0204	TH
C0205	TH
C0206	TH
C0207	TH
C0208	TH
C0209	TH
C0210	TH
C0211	TH
C0212	TH
C0213	TH
C0214	TH
C0215	TH
C0216	TH
C0217	TH
C0218	TH
C0219	TH
C0220	TH
C0221	TH
C0222	TH
C0223	TH
C0224	TH
C0225	TH
C0227	TH
C0228	TH
C0229	TH
C0230	TH
C0231	TH
C0232	TH
C0233	TH
C0234	TH
C0235	TH
C0236	TH
C0237	TH
